"","country_code","lat","lon"
"1","AD",42.5,1.5
"2","AE",24,54
"3","AF",33,65
"4","AG",17.05,-61.8
"5","AI",18.22,-63.05
"6","AL",41,20
"7","AM",40,45
"8","AN",12.17,-69
"9","AO",-12.5,18.5
"10","AQ",-77.85,166.67
"11","AR",-34,-64
"12","AS",-14.32,-170.5
"13","AT",47.33,13.33
"14","AU",-25,135
"15","AW",12.5,-69.97
"16","AX",60.12,19.9
"17","AZ",40.5,47.5
"18","BA",44.25,17.83
"19","BB",13.17,-59.53
"20","BD",24,90
"21","BE",50.83,4
"22","BF",13,-2
"23","BG",43,25
"24","BH",26,50.5
"25","BI",-3.5,30
"26","BJ",9.5,2.25
"27","BM",32.33,-64.75
"28","BN",4.5,114.67
"29","BO",-17,-65
"30","BR",-10,-55
"31","BS",24,-76
"32","BT",27.5,90.5
"33","BV",-54.43,3.4
"34","BW",-22,24
"35","BY",53,28
"36","BZ",17.25,-88.75
"37","CA",60,-96
"38","CC",-12.17,96.83
"39","CD",-3.52,23.42
"40","CF",7,21
"41","CG",-1,15
"42","CH",47,8
"43","CI",8,-5
"44","CK",-20,-158
"45","CL",-30,-71
"46","CM",6,12
"47","CN",35,105
"48","CO",4,-72
"49","CR",10,-84
"50","CS",44.8,20.5
"51","CU",21.5,-80
"52","CV",16,-24
"53","CX",-10.5,105.67
"54","CY",35,33
"55","CZ",49.75,15
"56","DE",51.5,10.5
"57","DJ",11.5,42.5
"58","DK",56,10
"59","DM",15.5,-61.33
"60","DO",19,-70.67
"61","DZ",28,3
"62","EC",-2,-77.5
"63","EE",59,26
"64","EG",27,30
"65","EH",23,-14
"66","ER",15,39
"67","ES",40,-4
"68","ET",8,39
"69","FI",64,26
"70","FJ",-18,178
"71","FK",-51.75,-59
"72","FM",5,152
"73","FO",62,-7
"74","FR",46,2
"75","FX",48.87,2.33
"76","GA",-1,11.75
"77","GB",54,-4.5
"78","GD",12.12,-61.67
"79","GE",42,43.5
"80","GF",4,-53
"81","GG",49.45,-2.55
"82","GH",8,-2
"83","GI",36.13,-5.35
"84","GL",72,-40
"85","GM",13.5,-15.5
"86","GN",11,-10
"87","GP",16.25,-61.58
"88","GQ",2,10
"89","GR",39,22
"90","GS",-54.5,-37
"91","GT",15.5,-90.25
"92","GU",13.47,144.83
"93","GW",12,-15
"94","GY",5,-59
"95","HK",22.25,114.17
"96","HM",-53.1,73.52
"97","HN",15,-86.5
"98","HR",45.17,15.5
"99","HT",19,-72.42
"100","HU",47,20
"101","ID",-5,120
"102","IE",53,-8
"103","IL",31.5,34.75
"104","IM",54.23,-4.55
"105","IN",20,77
"106","IO",-6,71.5
"107","IQ",33,44
"108","IR",32,53
"109","IS",65,-18
"110","IT",42.83,12.83
"111","JE",49.19,-2.11
"112","JM",18.25,-77.5
"113","JO",31,36
"114","JP",36,138
"115","KE",1,38
"116","KG",41,75
"117","KH",13,105
"118","KI",-5,-170
"119","KM",-12.17,44.25
"120","KN",17.33,-62.75
"121","KP",40,127
"122","KR",37,127.5
"123","KW",29.5,47.75
"124","KY",19.5,-80.67
"125","KZ",48,68
"126","LA",18,105
"127","LB",33.83,35.83
"128","LC",13.88,-60.97
"129","LI",47.17,9.53
"130","LK",7,81
"131","LR",6.5,-9.5
"132","LS",-29.5,28.25
"133","LT",56,24
"134","LU",49.75,6.17
"135","LV",57,25
"136","LY",25,17
"137","MA",32,-5
"138","MC",43.73,7.42
"139","MD",47,29
"140","ME",42.8,19.2
"141","MG",-20,47
"142","MH",11,168
"143","MK",41.83,22
"144","ML",17,-4
"145","MM",22,98
"146","MN",46,105
"147","MO",22,113
"148","MP",15.12,145.67
"149","MQ",14.67,-61
"150","MR",20,-12
"151","MS",16.75,-62.2
"152","MT",35.92,14.42
"153","MU",-20.3,57.58
"154","MV",3.2,73
"155","MW",-13.5,34
"156","MX",23,-102
"157","MY",4.22,101.97
"158","MZ",-18.25,35
"159","NA",-22,17
"160","NC",-21.5,165.5
"161","NE",16,8
"162","NF",-29.08,167.92
"163","NG",10,8
"164","NI",13,-85
"165","NL",52.5,5.75
"166","NO",62,10
"167","NP",28,84
"168","NR",-0.53,166.92
"169","NU",-19.03,-169.87
"170","NZ",-42,174
"171","OM",21,57
"172","PA",9,-80
"173","PE",-10,-76
"174","PF",-15,-140
"175","PG",-6,147
"176","PH",13,122
"177","PK",30,70
"178","PL",52,20
"179","PM",46.83,-56.33
"180","PN",-25.07,-130.08
"181","PR",18.23,-66.55
"182","PS",32,35.25
"183","PT",39.5,-8
"184","PW",6,134
"185","PY",-23,-58
"186","QA",25.5,51.25
"187","RE",-21.1,55.6
"188","RO",46,25
"189","RS",43.8,21
"190","RU",60,47
"191","RW",-2,30
"192","SA",25,45
"193","SB",-8,159
"194","SC",-4.58,55.67
"195","SD",15,30
"196","SE",62,15
"197","SG",1.37,103.8
"198","SH",-15.95,-5.7
"199","SI",46.25,15.17
"200","SJ",78,20
"201","SK",48.67,19.5
"202","SL",8.5,-11.5
"203","SM",43.93,12.42
"204","SN",14,-14
"205","SO",6,48
"206","SR",4,-56
"207","ST",1,7
"208","SU",60,47
"209","SV",13.83,-88.92
"210","SY",35,38
"211","SZ",-26.5,31.5
"212","TC",21.73,-71.58
"213","TD",15,19
"214","TF",-43,67
"215","TG",8,1.17
"216","TH",15,100
"217","TJ",39,71
"218","TK",-9,-171.75
"219","TL",-8.87,125.72
"220","TM",40,60
"221","TN",34,9
"222","TO",-20,-175
"223","TP",-9,125
"224","TR",39,35
"225","TT",11,-61
"226","TV",-8,178
"227","TW",23.5,121
"228","TZ",-6,35
"229","UA",49,32
"230","UG",2,33
"231","UM",10,-175
"232","US",38,-98
"233","UY",-33,-56
"234","UZ",41,64
"235","VA",41.9,12.45
"236","VC",13.08,-61.2
"237","VE",8,-66
"238","VG",18.5,-64.5
"239","VI",18.5,-64.43
"240","VN",16,106
"241","VU",-16,167
"242","WF",-14,-177
"243","WS",-13.58,-172.33
"244","YE",15.5,47.5
"245","YT",-12.83,45.17
"246","YU",44,21
"247","ZA",-30,26
"248","ZM",-15,30
"249","ZR",-1,22
"250","ZW",-19,29
